year,state,senate_win,pres_win
1976,ARIZONA,DEMOCRAT,REPUBLICAN
1976,CALIFORNIA,REPUBLICAN,REPUBLICAN
1976,CONNECTICUT,REPUBLICAN,REPUBLICAN
1976,DELAWARE,REPUBLICAN,DEMOCRAT
1976,FLORIDA,DEMOCRAT,DEMOCRAT
1976,HAWAII,DEMOCRAT,DEMOCRAT
1976,INDIANA,REPUBLICAN,REPUBLICAN
1976,MAINE,DEMOCRAT,REPUBLICAN
1976,MARYLAND,DEMOCRAT,DEMOCRAT
1976,MASSACHUSETTS,DEMOCRAT,DEMOCRAT
1976,MICHIGAN,DEMOCRAT,REPUBLICAN
1976,MINNESOTA,DEMOCRAT,DEMOCRAT
1976,MISSISSIPPI,DEMOCRAT,DEMOCRAT
1976,MISSOURI,REPUBLICAN,DEMOCRAT
1976,MONTANA,DEMOCRAT,REPUBLICAN
1976,NEBRASKA,DEMOCRAT,REPUBLICAN
1976,NEVADA,DEMOCRAT,REPUBLICAN
1976,NEW JERSEY,DEMOCRAT,REPUBLICAN
1976,NEW MEXICO,REPUBLICAN,REPUBLICAN
1976,NEW YORK,DEMOCRAT,DEMOCRAT
1976,NORTH DAKOTA,DEMOCRAT,REPUBLICAN
1976,OHIO,DEMOCRAT,DEMOCRAT
1976,PENNSYLVANIA,REPUBLICAN,DEMOCRAT
1976,RHODE ISLAND,REPUBLICAN,DEMOCRAT
1976,TENNESSEE,DEMOCRAT,DEMOCRAT
1976,TEXAS,DEMOCRAT,DEMOCRAT
1976,UTAH,REPUBLICAN,REPUBLICAN
1976,VERMONT,REPUBLICAN,REPUBLICAN
1976,VIRGINIA,OTHER,REPUBLICAN
1976,WASHINGTON,DEMOCRAT,REPUBLICAN
1976,WEST VIRGINIA,DEMOCRAT,DEMOCRAT
1976,WISCONSIN,DEMOCRAT,DEMOCRAT
1976,WYOMING,REPUBLICAN,REPUBLICAN
1980,ALABAMA,REPUBLICAN,REPUBLICAN
1980,ALASKA,REPUBLICAN,REPUBLICAN
1980,ARIZONA,REPUBLICAN,REPUBLICAN
1980,ARKANSAS,DEMOCRAT,REPUBLICAN
