"District","Member"
"Alabama 1","Jerry Carl"
"Alabama 2","Barry Moore"
"Alabama 3","Mike Rogers"
"Alabama 4","Robert Aderholt"
"Alabama 5","Mo Brooks"
"Alabama 6","Gary Palmer"
"Alabama 7","Terri Sewell"
"Alaska at-large","Don Young"
"Arizona 1","Tom O'Halleran"
"Arizona 2","Ann Kirkpatrick"
"Arizona 3","Raúl Grijalva"
"Arizona 4","Paul Gosar"
"Arizona 5","Andy Biggs"
"Arizona 6","David Schweikert"
"Arizona 7","Ruben Gallego"
"Arizona 8","Debbie Lesko"
"Arizona 9","Greg Stanton"
"Arkansas 1","Rick Crawford"
"Arkansas 2","French Hill"
"Arkansas 3","Steve Womack"
"Arkansas 4","Bruce Westerman"
"California 1","Doug LaMalfa"
"California 2","Jared Huffman"
"California 3","John Garamendi"
"California 4","Tom McClintock"
"California 5","Mike Thompson"
"California 6","Doris Matsui"
"California 7","Ami Bera"
"California 8","Jay Obernolte"
"California 9","Jerry McNerney"
"California 10","Josh Harder"
"California 11","Mark DeSaulnier"
"California 12","Nancy Pelosi"
"California 13","Barbara Lee"
"California 14","Jackie Speier"
"California 15","Eric Swalwell"
"California 16","Jim Costa"
"California 17","Ro Khanna"
"California 18","Anna Eshoo"
"California 19","Zoe Lofgren"
"California 20","Jimmy Panetta"
"California 21","David Valadao"
"California 22","Devin Nunes"
"California 23","Kevin McCarthy"
"California 24","Salud Carbajal"
"California 25","Mike Garcia"
"California 26","Julia Brownley"
"California 27","Judy Chu"
"California 28","Adam Schiff"
"California 29","Tony Cárdenas"
"California 30","Brad Sherman"
"California 31","Pete Aguilar"
"California 32","Grace Napolitano"
"California 33","Ted Lieu"
"California 34","Jimmy Gomez"
"California 35","Norma Torres"
"California 36","Raul Ruiz"
"California 37","Karen Bass"
"California 38","Linda Sánchez"
"California 39","Young Kim"
"California 40","Lucille Roybal-Allard"
"California 41","Mark Takano"
"California 42","Ken Calvert"
"California 43","Maxine Waters"
"California 44","Nanette Barragán"
"California 45","Katie Porter"
"California 46","Lou Correa"
"California 47","Alan Lowenthal"
"California 48","Michelle Steel"
"California 49","Mike Levin"
"California 50","Darrell Issa"
"California 51","Juan Vargas"
"California 52","Scott Peters"
"California 53","Sara Jacobs"
"Colorado 1","Diana DeGette"
"Colorado 2","Joe Neguse"
"Colorado 3","Lauren Boebert"
"Colorado 4","Ken Buck"
"Colorado 5","Doug Lamborn"
"Colorado 6","Jason Crow"
"Colorado 7","Ed Perlmutter"
"Connecticut 1","John B. Larson"
"Connecticut 2","Joe Courtney"
"Connecticut 3","Rosa DeLauro"
"Connecticut 4","Jim Himes"
"Connecticut 5","Jahana Hayes"
"Delaware at-large","Lisa Blunt Rochester"
"Florida 1","Matt Gaetz"
"Florida 2","Neal Dunn"
"Florida 3","Kat Cammack"
"Florida 4","John Rutherford"
"Florida 5","Al Lawson"
"Florida 6","Michael Waltz"
"Florida 7","Stephanie Murphy"
"Florida 8","Bill Posey"
"Florida 9","Darren Soto"
"Florida 10","Val Demings"
"Florida 11","Daniel Webster"
"Florida 12","Gus Bilirakis"
"Florida 13","Charlie Crist"
"Florida 14","Kathy Castor"
"Florida 15","Scott Franklin"
"Florida 16","Vern Buchanan"
"Florida 17","Greg Steube"
"Florida 18","Brian Mast"
"Florida 19","Byron Donalds"
"Florida 20","Alcee Hastings"
"Florida 21","Lois Frankel"
"Florida 22","Ted Deutch"
"Florida 23","Debbie Wasserman Schultz"
"Florida 24","Frederica Wilson"
"Florida 25","Mario Díaz-Balart"
"Florida 26","Carlos Giménez"
"Florida 27","Maria Elvira Salazar"
"Georgia 1","Buddy Carter"
"Georgia 2","Sanford Bishop"
"Georgia 3","Drew Ferguson"
"Georgia 4","Hank Johnson"
"Georgia 5","Nikema Williams"
"Georgia 6","Lucy McBath"
"Georgia 7","Carolyn Bourdeaux"
"Georgia 8","Austin Scott"
"Georgia 9","Andrew Clyde"
"Georgia 10","Jody Hice"
"Georgia 11","Barry Loudermilk"
"Georgia 12","Rick W. Allen"
"Georgia 13","David Scott"
"Georgia 14","Marjorie Taylor Greene"
"Hawaii 1","Ed Case"
"Hawaii 2","Kai Kahele"
"Idaho 1","Russ Fulcher"
"Idaho 2","Mike Simpson"
"Illinois 1","Bobby Rush"
"Illinois 2","Robin Kelly"
"Illinois 3","Marie Newman"
"Illinois 4","Jesús ""Chuy"" García"
"Illinois 5","Mike Quigley"
"Illinois 6","Sean Casten"
"Illinois 7","Danny K. Davis"
"Illinois 8","Raja Krishnamoorthi"
"Illinois 9","Jan Schakowsky"
"Illinois 10","Brad Schneider"
"Illinois 11","Bill Foster"
"Illinois 12","Mike Bost"
"Illinois 13","Rodney Davis"
"Illinois 14","Lauren Underwood"
"Illinois 15","Mary Miller"
"Illinois 16","Adam Kinzinger"
"Illinois 17","Cheri Bustos"
"Illinois 18","Darin LaHood"
"Indiana 1","Frank J. Mrvan"
"Indiana 2","Jackie Walorski"
"Indiana 3","Jim Banks"
"Indiana 4","Jim Baird"
"Indiana 5","Victoria Spartz"
"Indiana 6","Greg Pence"
"Indiana 7","André Carson"
"Indiana 8","Larry Bucshon"
"Indiana 9","Trey Hollingsworth"
"Iowa 1","Ashley Hinson"
"Iowa 2","Mariannette Miller-Meeks"
"Iowa 3","Cindy Axne"
"Iowa 4","Randy Feenstra"
"Kansas 1","Tracey Mann"
"Kansas 2","Jake LaTurner"
"Kansas 3","Sharice Davids"
"Kansas 4","Ron Estes"
"Kentucky 1","James Comer"
"Kentucky 2","Brett Guthrie"
"Kentucky 3","John Yarmuth"
"Kentucky 4","Thomas Massie"
"Kentucky 5","Hal Rogers"
"Kentucky 6","Andy Barr"
"Louisiana 1","Steve Scalise"
"Louisiana 2","VACANT"
"Louisiana 3","Clay Higgins"
"Louisiana 4","Mike Johnson"
"Louisiana 5","VACANT"
"Louisiana 6","Garret Graves"
"Maine 1","Chellie Pingree"
"Maine 2","Jared Golden"
"Maryland 1","Andy Harris"
"Maryland 2","Dutch Ruppersberger"
"Maryland 3","John Sarbanes"
"Maryland 4","Anthony G. Brown"
"Maryland 5","Steny Hoyer"
"Maryland 6","David Trone"
"Maryland 7","Kweisi Mfume"
"Maryland 8","Jamie Raskin"
"Massachusetts 1","Richard Neal"
"Massachusetts 2","Jim McGovern"
"Massachusetts 3","Lori Trahan"
"Massachusetts 4","Jake Auchincloss"
"Massachusetts 5","Katherine Clark"
"Massachusetts 6","Seth Moulton"
"Massachusetts 7","Ayanna Pressley"
"Massachusetts 8","Stephen F. Lynch"
"Massachusetts 9","Bill Keating"
"Michigan 1","Jack Bergman"
"Michigan 2","Bill Huizenga"
"Michigan 3","Peter Meijer"
"Michigan 4","John Moolenaar"
"Michigan 5","Dan Kildee"
"Michigan 6","Fred Upton"
"Michigan 7","Tim Walberg"
"Michigan 8","Elissa Slotkin"
"Michigan 9","Andy Levin"
"Michigan 10","Lisa McClain"
"Michigan 11","Haley Stevens"
